 
 
;;DOCUMENTI FISCALI DAL 00/00/0000 AL 99/99/9999
 
Numero;Documento;Data;Cliente;Importo;IVA;Totale
 
         1;C;15/06/2012;EVENTI ANDREA                                     ;        200,00;         42,00;        242,00
         2;C;15/06/2012;EVENTI ANDREA                                     ;        104,50;         21,95;        126,45
         3;C;15/06/2012;EVENTI ANDREA                                     ;     99.000,00;     20.790,00;    119.790,00
         6;C;15/06/2012;EVENTI ANDREA                                     ;          9,50;          2,00;         11,50
         1;F;15/06/2012;EVENTI ANDREA                                     ;        120,00;         25,20;        145,20
         2;F;15/06/2012;EVENTI ANDREA                                     ;        110,00;         23,10;        133,10
         3;F;15/06/2012;RESET                                             ;        190,00;         39,90;        229,90
         6;F;15/06/2012;RESET                                             ;     10.000,00;          0,00;     10.000,00
         7;F;15/06/2012;EVENTI ANDREA                                     ;     50.000,00;     10.500,00;     60.500,00
         8;F;15/06/2012;EVENTI ANDREA                                     ;        105,45;         22,14;        127,59
         9;F;15/06/2012;EVENTI ANDREA                                     ;        105,45;         22,14;        127,59
        10;F;15/06/2012;EVENTI ANDREA                                     ;         95,00;         19,95;        114,95
        11;F;15/06/2012;RESET                                             ;          9,50;          0,00;          9,50
         1;N;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         2;N;15/06/2012;EVENTI ANDREA                                     ;    -50.000,00;    -10.500,00;    -60.500,00
         3;N;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         6;N;15/06/2012;EVENTI ANDREA                                     ;       -304,00;        -63,84;       -367,84
         7;N;15/06/2012;EVENTI ANDREA                                     ;       -300,00;        -63,00;       -363,00
         8;N;15/06/2012;EVENTI ANDREA                                     ;         -8,00;         -1,68;         -9,68
         9;N;15/06/2012;EVENTI ANDREA                                     ;         -8,50;         -1,79;        -10,29
